Belfast Stockman's Lane,,,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
23,V µg/m³,23,V µg/m³,58,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,19,V µg/m³,45,V µg/m³,6,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,21,V µg/m³,48,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
41,V µg/m³,34,V µg/m³,97,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
53,V µg/m³,46,V µg/m³,128,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
47,V µg/m³,39,V µg/m³,111,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
46,V µg/m³,38,V µg/m³,108,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
50,V µg/m³,38,V µg/m³,115,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,31,V µg/m³,93,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
12,V µg/m³,18,V µg/m³,37,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
38,V µg/m³,34,V µg/m³,92,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
47,V µg/m³,38,V µg/m³,109,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
63,V µg/m³,39,V µg/m³,136,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
50,V µg/m³,34,V µg/m³,111,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
38,V µg/m³,32,V µg/m³,90,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
23,V µg/m³,21,V µg/m³,56,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
20,V µg/m³,21,V µg/m³,52,V µg/m³,8,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
